scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
ma_lb_pq_vdse,exp2_search_latency,10000,1,0.495851,7.000000,16.000000,ok
ma_lb_pq_vdse,exp2_search_latency,10000,2,0.509634,10.000000,10.000000,ok
ma_lb_pq_vdse,exp2_search_latency,10000,3,0.491672,9.000000,16.000000,ok
ma_lb_pq_vdse,exp2_search_latency,10000,4,0.493510,7.000000,8.000000,ok
ma_lb_pq_vdse,exp2_search_latency,10000,5,0.472820,7.000000,11.000000,ok
ma_lb_pq_vdse,exp2_search_latency,10000,6,0.490732,10.000000,14.000000,ok
ma_lb_pq_vdse,exp2_search_latency,10000,7,0.480104,13.000000,14.000000,ok
ma_lb_pq_vdse,exp2_search_latency,10000,8,0.494770,15.000000,42.000000,ok
ma_lb_pq_vdse,exp2_search_latency,10000,9,0.459872,10.000000,17.000000,ok
ma_lb_pq_vdse,exp2_search_latency,10000,10,0.474635,7.000000,7.000000,ok
ma_lb_pq_vdse,exp2_search_latency,50000,1,0.622836,18.000000,75.000000,ok
ma_lb_pq_vdse,exp2_search_latency,50000,2,0.612432,9.000000,22.000000,ok
ma_lb_pq_vdse,exp2_search_latency,50000,3,0.653285,33.000000,139.000000,ok
ma_lb_pq_vdse,exp2_search_latency,50000,4,0.587710,8.000000,8.000000,ok
ma_lb_pq_vdse,exp2_search_latency,50000,5,0.625616,5.000000,21.000000,ok
ma_lb_pq_vdse,exp2_search_latency,50000,6,0.598442,7.000000,37.000000,ok
ma_lb_pq_vdse,exp2_search_latency,50000,7,0.612638,7.000000,27.000000,ok
ma_lb_pq_vdse,exp2_search_latency,50000,8,0.609408,11.000000,12.000000,ok
ma_lb_pq_vdse,exp2_search_latency,50000,9,0.584882,8.000000,8.000000,ok
ma_lb_pq_vdse,exp2_search_latency,50000,10,0.600497,9.000000,12.000000,ok
ma_lb_pq_vdse,exp2_search_latency,100000,1,0.865837,17.000000,48.000000,ok
ma_lb_pq_vdse,exp2_search_latency,100000,2,0.867538,19.000000,58.000000,ok
ma_lb_pq_vdse,exp2_search_latency,100000,3,0.848402,12.000000,39.000000,ok
ma_lb_pq_vdse,exp2_search_latency,100000,4,0.826358,9.000000,9.000000,ok
ma_lb_pq_vdse,exp2_search_latency,100000,5,0.828645,6.000000,15.000000,ok
ma_lb_pq_vdse,exp2_search_latency,100000,6,0.853642,7.000000,16.000000,ok
ma_lb_pq_vdse,exp2_search_latency,100000,7,0.826745,14.000000,17.000000,ok
ma_lb_pq_vdse,exp2_search_latency,100000,8,0.963161,76.000000,248.000000,ok
ma_lb_pq_vdse,exp2_search_latency,100000,9,0.823743,6.000000,9.000000,ok
ma_lb_pq_vdse,exp2_search_latency,100000,10,0.826689,11.000000,34.000000,ok
ma_lb_pq_vdse,exp2_search_latency,500000,1,2.478512,5.000000,58.000000,ok
ma_lb_pq_vdse,exp2_search_latency,500000,2,2.647029,100.000000,282.000000,ok
ma_lb_pq_vdse,exp2_search_latency,500000,3,2.639620,113.000000,286.000000,ok
ma_lb_pq_vdse,exp2_search_latency,500000,4,2.786560,186.000000,496.000000,ok
ma_lb_pq_vdse,exp2_search_latency,500000,5,2.444086,11.000000,46.000000,ok
ma_lb_pq_vdse,exp2_search_latency,500000,6,2.457640,15.000000,15.000000,ok
ma_lb_pq_vdse,exp2_search_latency,500000,7,2.516670,40.000000,210.000000,ok
ma_lb_pq_vdse,exp2_search_latency,500000,8,2.575962,77.000000,145.000000,ok
ma_lb_pq_vdse,exp2_search_latency,500000,9,2.397317,5.000000,29.000000,ok
ma_lb_pq_vdse,exp2_search_latency,500000,10,2.442198,23.000000,69.000000,ok
ma_lb_pq_vdse,exp2_search_latency,1000000,1,7.305366,809.000000,1989.000000,ok
ma_lb_pq_vdse,exp2_search_latency,1000000,2,6.011073,194.000000,666.000000,ok
ma_lb_pq_vdse,exp2_search_latency,1000000,3,6.368713,446.000000,994.000000,ok
ma_lb_pq_vdse,exp2_search_latency,1000000,4,5.816473,41.000000,41.000000,ok
ma_lb_pq_vdse,exp2_search_latency,1000000,5,6.200408,141.000000,359.000000,ok
ma_lb_pq_vdse,exp2_search_latency,1000000,6,5.606834,19.000000,55.000000,ok
ma_lb_pq_vdse,exp2_search_latency,1000000,7,5.495845,12.000000,33.000000,ok
ma_lb_pq_vdse,exp2_search_latency,1000000,8,6.122153,276.000000,1191.000000,ok
ma_lb_pq_vdse,exp2_search_latency,1000000,9,6.023220,217.000000,645.000000,ok
ma_lb_pq_vdse,exp2_search_latency,1000000,10,5.449781,46.000000,46.000000,ok
